cleaned_title,Sentiment
please let travel,Positive
two types people,Neutral
every five steps dont miss anything,Positive
got little carried away first,Neutral
found merlin trial walk today,Neutral
professors hearing preform avada kedavra training dummies,Neutral
poor enemies,Negative
haha,Positive
unfortunate truth,Negative
things hogwarts legacy like mount,Positive
everytime enter store,Neutral
need gold every room,Neutral
avada kadavra,Neutral
good sport,Positive
perspective,Neutral
normal hogwarts students vs main character,Neutral
magical bastards,Negative
one favorite pages,Positive
following butterfly mission came,Neutral
hogwarts legacy inspired disillusionment chest moving eye,Positive
hi hard work rip selling broom,Negative
lock,Neutral
dont care im im using everywhere,Negative
anyone else constantly swapping outfits based questing,Neutral
ykyk,Neutral
feels im cutscene,Neutral
well,Positive
crucio unforgivable curse say,Negative
real,Neutral
say best quest entire,Positive
regard school rules,Neutral
cosplay professor much fun making especially aranging flowers hat,Positive
mine demiguise,Neutral
alohomora shouldve like,Positive
side quests,Neutral
unforgivable indeed,Neutral
know youve played much hogwarts see ikea immediately think merlin trial,Positive
cant imagine,Neutral
,Neutral
mine demiguise,Neutral
facial expressions,Neutral
official new hogwarts game,Neutral
oc hogwarts experience,Neutral
one took long find open lvl realized invisible lol,Positive
cosplay professor,Neutral
whoever created great screw,Positive
sure old stop,Neutral
present,Neutral
created lil nook deek,Positive
another adventure,Positive
prevented school shooting hogwarts,Neutral
professor garlick,Neutral
completed merlin,Neutral
run wiggendweld potions fighting penseive,Negative
facts,Neutral
new kid kinda wierd,Neutral
look like great aunt tissy,Positive
telling ravenclaw gets giant,Neutral
late,Neutral
stop second take beauty,Positive
mine,Neutral
,Neutral
cow tipping didnt exactly go planned,Neutral
like,Positive
made funny,Positive
imagine inconvenient travel floo powder,Negative
pet every hope pet achievement,Positive
someone horrible loves wizarding world,Positive
gotta catch,Neutral
us,Neutral
stuff makes distracted rather main even side distracts going hogwarts surrounding,Negative
imo best robe side mission worth reward,Positive
found made,Neutral
updates june,Neutral
favourite breath fresh full positive energy always awesome person hang around love hogwarts legacy companion system run around,Positive
one favourite screenshots simple beautiful,Positive
please let travel,Positive
oh,Neutral
spinning globes best part,Positive
wheres,Neutral
know merlin trial see one,Neutral
merlin trial,Neutral
kind twisted childrens game,Positive
honk honk honk,Neutral
wish could something know,Positive
know merlin trial see one,Neutral
new favorite beast,Positive
character done,Neutral
cant unsee,Neutral
mine demiguise,Neutral
made hogwarts legacy poster view full,Neutral
convinced game,Positive
im,Neutral
follow proffessors class go random part castle wait kind cool see,Positive
person miss charming sense wonder rest peace ignatia,Positive
main,Neutral
accusatory,Neutral
,Neutral
sharing professor garlick,Positive
wouldnt really call rescuing,Neutral
hey printed handpainted several masks,Neutral
hogwarts legacy wands im making printer,Neutral
im bit late excited start,Positive
real ancient magic,Neutral
time go outside,Neutral
student professor,Neutral
mine demiguise,Neutral
real thoughwishing could cast spells,Neutral
im simple man,Neutral
accidental flipendo poppy sweeting,Negative
see coming,Neutral
favourite screenshots taken,Neutral
good laugh,Positive
thought could go wrong buying shop hogsmade side mission playing finishing main,Negative
arachnophobia play game,Positive
stuffing animals bag feel rights us,Neutral
quick use swift talent dash crouch saves slow plus cool,Positive
one creative frustrating levels ive ever played,Positive
husband knew started game heard character go,Neutral
look much like character get,Positive
merlin trial irl,Neutral
,Neutral
revelio spell gone wrong,Negative
fact game starts year five dead giveaway hoping character years,Negative
get cozy,Neutral
shop owner bloody hell,Negative
highly recommend stopping great hall christmas,Positive
winter hogwarts makes game magical,Neutral
anyone else pet every,Neutral
little corner little guy,Neutral
ominis truly slytherin heart,Positive
never wanted punch child life,Neutral
mirabel garlick,Neutral
pretty morbid painting also painting found move,Positive
especially trying find,Neutral
finally say screw keep screenshot phone,Negative
say,Neutral
hogwarts legacy ever added multiplayer,Neutral
,Neutral
vivariums look anything cuter,Positive
anyone prefer broom,Neutral
,Neutral
long day office means letting loose getting home,Negative
first thing,Neutral
tearing,Neutral
apartment,Neutral
hogwarts legacy covert horror game,Negative
must pet every,Neutral
one mind quidditch,Neutral
spiders played like fiddle,Positive
anyone else experience,Neutral
sick hearing,Negative
undercroft well hidden,Positive
never get,Neutral
deek thinks proud potions youve brewed sinister,Negative
ancient magic hotspot,Neutral
feel horrible,Negative
mallowsweet unfortunately,Negative
professor sharp appreciation post think neat,Positive
still,Neutral
heres arachnophobia mode looks like btw didnt,Positive
found gay ghost couple,Negative
sure got spells never unsee,Positive
want opinion posters made inspired hl quotes,Positive
think get year hogwarts,Neutral
avada kedavra amazing spell,Positive
drippest wizard hogwartz,Neutral
mini game quidditch hogwarts legacy,Neutral
anyone else never wear,Neutral
