cleaned_title,Sentiment
please let travel,Neutral
two types people,Neutral
every five steps dont miss anything,Neutral
got little carried away first,Negative
found merlin trial walk today,Neutral
professors hearing preform avada kedavra training dummies,Neutral
poor enemies,Negative
haha,Positive
unfortunate truth,Negative
things hogwarts legacy like mount,Neutral
everytime enter store,Neutral
need gold every room,Neutral
avada kadavra,Neutral
good sport,Positive
perspective,Neutral
normal hogwarts students vs main character,Neutral
magical bastards,Negative
one favorite pages,Positive
following butterfly mission came,Neutral
hogwarts legacy inspired disillusionment chest moving eye,Negative
hi hard work rip selling broom,Neutral
lock,Neutral
dont care im im using everywhere,Neutral
anyone else constantly swapping outfits based questing,Neutral
ykyk,Neutral
feels im cutscene,Neutral
well,Neutral
crucio unforgivable curse say,Negative
real,Neutral
say best quest entire,Positive
regard school rules,Neutral
cosplay professor much fun making especially aranging flowers hat,Positive
mine demiguise,Neutral
alohomora shouldve like,Neutral
side quests,Neutral
unforgivable indeed,Negative
know youve played much hogwarts see ikea immediately think merlin trial,Neutral
cant imagine,Negative
,Neutral
mine demiguise,Neutral
facial expressions,Neutral
official new hogwarts game,Neutral
oc hogwarts experience,Neutral
one took long find open lvl realized invisible lol,Neutral
cosplay professor,Neutral
whoever created great screw,Negative
sure old stop,Negative
present,Neutral
created lil nook deek,Neutral
another adventure,Neutral
prevented school shooting hogwarts,Neutral
professor garlick,Neutral
completed merlin,Neutral
run wiggendweld potions fighting penseive,Neutral
facts,Neutral
new kid kinda wierd,Negative
look like great aunt tissy,Neutral
telling ravenclaw gets giant,Neutral
late,Neutral
stop second take beauty,Neutral
mine,Neutral
,Neutral
cow tipping didnt exactly go planned,Negative
like,Neutral
made funny,Positive
imagine inconvenient travel floo powder,Negative
pet every hope pet achievement,Positive
someone horrible loves wizarding world,Negative
gotta catch,Neutral
us,Neutral
stuff makes distracted rather main even side distracts going hogwarts surrounding,Negative
imo best robe side mission worth reward,Positive
found made,Neutral
updates june,Neutral
favourite breath fresh full positive energy always awesome person hang around love hogwarts legacy companion system run around,Positive
one favourite screenshots simple beautiful,Positive
please let travel,Neutral
oh,Neutral
spinning globes best part,Positive
wheres,Neutral
know merlin trial see one,Neutral
merlin trial,Neutral
kind twisted childrens game,Negative
honk honk honk,Neutral
wish could something know,Neutral
know merlin trial see one,Neutral
new favorite beast,Positive
character done,Neutral
cant unsee,Neutral
mine demiguise,Neutral
made hogwarts legacy poster view full,Neutral
convinced game,Neutral
im,Neutral
follow proffessors class go random part castle wait kind cool see,Positive
person miss charming sense wonder rest peace ignatia,Neutral
main,Neutral
accusatory,Neutral
,Neutral
sharing professor garlick,Neutral
wouldnt really call rescuing,Neutral
hey printed handpainted several masks,Neutral
hogwarts legacy wands im making printer,Neutral
im bit late excited start,Neutral
real ancient magic,Neutral
time go outside,Neutral
student professor,Neutral
mine demiguise,Neutral
real thoughwishing could cast spells,Neutral
im simple man,Neutral
accidental flipendo poppy sweeting,Neutral
see coming,Neutral
favourite screenshots taken,Neutral
good laugh,Positive
thought could go wrong buying shop hogsmade side mission playing finishing main,Neutral
arachnophobia play game,Negative
stuffing animals bag feel rights us,Negative
quick use swift talent dash crouch saves slow plus cool,Positive
one creative frustrating levels ive ever played,Negative
husband knew started game heard character go,Neutral
look much like character get,Neutral
merlin trial irl,Neutral
,Neutral
revelio spell gone wrong,Negative
fact game starts year five dead giveaway hoping character years,Neutral
get cozy,Neutral
shop owner bloody hell,Negative
highly recommend stopping great hall christmas,Positive
winter hogwarts makes game magical,Positive
anyone else pet every,Neutral
little corner little guy,Neutral
ominis truly slytherin heart,Neutral
never wanted punch child life,Negative
mirabel garlick,Neutral
pretty morbid painting also painting found move,Neutral
especially trying find,Neutral
finally say screw keep screenshot phone,Negative
say,Neutral
hogwarts legacy ever added multiplayer,Neutral
,Neutral
vivariums look anything cuter,Positive
anyone prefer broom,Neutral
,Neutral
long day office means letting loose getting home,Neutral
first thing,Neutral
tearing,Neutral
apartment,Neutral
hogwarts legacy covert horror game,Neutral
must pet every,Neutral
one mind quidditch,Neutral
spiders played like fiddle,Negative
anyone else experience,Neutral
sick hearing,Negative
undercroft well hidden,Neutral
never get,Neutral
